common_name,year,pct
American Crow,2024,4
American Robin,2024,26
Black-capped Chickadee,2024,6
Carolina Wren,2024,15
Chimney Swift,2024,2
Chipping Sparrow,2024,15
Great Crested Flycatcher,2024,6
House Sparrow,2024,2
Northern Cardinal,2024,7
Northern Flicker,2024,6
Scarlet Tanager,2024,2
American Robin,2025,34
Black-capped Chickadee,2025,3
Carolina Wren,2025,13
Chipping Sparrow,2025,12
Great Crested Flycatcher,2025,2
House Wren,2025,9
Northern Cardinal,2025,7
Red-breasted Nuthatch,2025,5
Tufted Titmouse,2025,2
Wood Thrush,2025,3
